"시도별","지출목적별",1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"전국","10 교육",53.285,55.221,55.940,58.767,61.440,64.878,68.713,72.522,75.576,79.229,83.966,88.551,90.768,92.823,94.424,95.762,96.888,98.312,100.00,101.64,102.80,104.21,104.76,102.52
"전국","10.1 유치원 및 초등교육",52.583,54.775,55.282,58.740,64.403,70.361,75.824,82.090,88.811,96.353,105.241,114.211,120.969,128.012,132.312,120.645,93.339,92.838,100.00,102.74,103.85,105.78,105.63,100.82
"전국","유치원 및 초등교육",52.583,54.775,55.282,58.740,64.403,70.361,75.824,82.090,88.811,96.353,105.241,114.211,120.969,128.012,132.312,120.645,93.339,92.838,100.00,102.74,103.85,105.78,105.63,100.82
"전국","유치원납입금",52.583,54.775,55.282,58.740,64.403,70.361,75.824,82.090,88.811,96.353,105.241,114.211,120.969,128.012,132.312,120.645,93.339,92.838,100.00,102.74,103.85,105.78,105.63,100.82
"전국","10.2 중등교육",75.248,75.971,81.725,88.309,89.936,95.772,101.888,106.707,109.626,113.005,117.480,120.093,120.458,120.458,103.092,99.715,99.757,99.813,100.00,100.10,100.39,100.47,86.90,33.96
"전국","중등교육",75.248,75.971,81.725,88.309,89.936,95.772,101.888,106.707,109.626,113.005,117.480,120.093,120.458,120.458,103.092,99.715,99.757,99.813,100.00,100.10,100.39,100.47,86.90,33.96
"전국","고등학교납입금",75.234,75.928,81.722,88.309,89.936,95.772,101.888,106.707,109.626,113.005,117.480,120.093,120.458,120.458,103.092,99.715,99.757,99.813,100.00,100.10,100.39,100.47,86.90,33.96
"전국","10.3 고등교육",52.462,53.548,53.983,58.058,61.595,65.945,71.021,76.435,81.183,86.499,92.816,99.668,101.724,102.816,104.461,101.480,100.355,100.067,100.00,100.02,99.99,99.70,99.43,98.49
"전국","고등교육",52.462,53.548,53.983,58.058,61.595,65.945,71.021,76.435,81.183,86.499,92.816,99.668,101.724,102.816,104.461,101.480,100.355,100.067,100.00,100.02,99.99,99.70,99.43,98.49
"전국","전문대학납입금",52.977,54.073,54.228,57.907,61.179,65.753,70.587,75.983,81.050,86.453,92.788,99.759,103.284,104.351,105.030,101.659,100.257,100.029,100.00,100.00,100.00,100.07,100.08,99.77
"전국","국공립대학교납입금",48.137,49.274,50.324,54.552,58.107,63.188,69.861,77.742,84.133,90.274,98.008,106.344,108.602,109.537,109.938,102.508,100.532,100.164,100.01,99.84,99.52,98.66,98.43,97.67
"전국","사립대학교납입금",54.374,55.445,55.753,59.899,63.489,67.572,72.379,77.237,81.317,86.501,92.585,99.233,100.771,101.875,104.032,101.549,100.489,100.114,100.00,99.99,99.93,99.52,99.07,97.71
"전국","국공립대학원납입금",49.028,50.910,51.329,55.169,58.764,62.939,67.509,72.007,76.023,82.850,90.158,97.657,98.936,99.958,100.258,100.103,100.058,100.013,100.01,100.25,100.36,100.66,101.23,101.73
"전국","사립대학원납입금",41.216,41.980,44.039,49.588,53.431,58.209,63.962,70.244,77.167,81.502,86.789,92.512,94.095,95.651,97.851,97.918,98.411,99.365,100.00,100.49,100.99,101.54,101.99,102.45
"전국","10.4 기타교육",54.374,56.993,56.950,58.775,60.980,63.517,66.495,69.351,71.360,74.179,78.073,81.683,83.711,85.784,88.607,92.454,95.836,97.977,100.00,102.18,103.78,105.85,107.87,109.53
"전국","학원 및 보습교육",54.116,56.662,56.616,58.652,60.734,63.334,66.350,69.272,71.342,74.195,78.166,81.738,83.646,85.699,88.520,92.420,95.856,97.973,100.00,102.25,103.84,105.89,107.97,109.61
"전국","초등학생학원비",54.862,59.189,58.313,58.377,60.293,62.185,63.470,65.644,67.259,69.221,73.138,77.897,81.153,85.074,88.406,92.495,95.709,98.417,100.00,102.08,103.13,104.83,105.90,107.47
"전국","중학생학원비",-,-,-,-,-,-,-,-,67.851,72.192,75.623,79.727,82.011,83.719,86.383,91.049,95.205,97.073,100.00,101.87,102.88,104.71,106.59,108.73
"전국","고등학생학원비",46.183,47.399,47.561,49.110,51.659,54.450,57.990,60.686,63.207,67.251,71.363,76.034,78.177,80.816,84.749,89.861,94.526,97.431,100.00,102.94,105.22,107.55,109.54,111.28
"전국","음악학원비",57.446,60.070,59.982,60.883,62.563,64.329,67.277,69.435,71.448,73.967,77.742,80.952,83.316,85.597,88.515,93.028,96.193,98.058,100.00,103.09,106.31,109.50,111.39,114.06
"전국","미술학원비",55.588,56.953,55.881,57.498,59.414,61.691,66.742,69.426,70.121,72.335,75.374,78.704,81.065,84.112,88.275,92.325,95.031,97.621,100.00,102.85,105.21,107.44,109.95,112.19
"전국","운동학원비",51.264,54.969,55.843,57.643,60.083,61.903,65.189,68.118,70.790,73.504,76.042,80.013,81.529,84.130,87.818,90.286,92.857,96.585,100.00,103.29,106.35,110.00,113.41,116.11
"전국","전산학원비",60.611,62.656,62.184,63.811,64.060,64.379,66.288,68.064,69.557,71.169,72.004,74.520,76.410,80.739,84.689,88.822,94.445,97.473,100.00,101.48,101.69,103.20,104.59,107.26
"전국","가정학습지",62.530,68.602,68.934,75.664,76.938,82.336,83.320,89.147,90.357,90.357,97.232,97.857,97.857,97.857,98.624,99.618,101.305,101.157,100.00,101.61,101.66,102.06,105.12,105.12
"전국","이러닝이용료",-,-,-,-,-,-,-,-,85.790,83.896,85.948,88.378,88.793,89.023,95.631,97.367,98.934,98.934,100.00,101.74,101.74,101.74,110.31,91.45
"전국","학교보충교육비",-,-,-,83.748,86.616,87.286,87.279,89.569,92.313,95.151,96.712,98.312,99.097,99.797,98.700,98.902,98.925,99.738,100.00,100.03,102.00,103.47,104.53,104.84
"전국","성인학원 및 기타교육",56.604,59.483,59.475,60.656,64.311,66.186,68.522,70.534,71.972,74.269,77.153,81.296,84.876,86.983,89.744,92.897,95.549,97.993,100.00,101.23,102.80,105.15,106.38,108.30
